zipcode,state,income
70535,louisiana,40805
78251,texas,69346
78355,texas,27556
78404,texas,49473
78559,texas,38975
39661,mississippi,40737
77954,texas,57038
77615,texas,60625
78133,texas,70949
78629,texas,56433
78404,texas,49473
70360,louisiana,75650
36572,alabama,88241
72404,arkansas,61942
78934,texas,61573
77437,texas,53976
70601,louisiana,44108
75454,texas,119535
75951,texas,41003
67864,kansas,78750
75939,texas,42028
70570,louisiana,42391
71351,louisiana,40217
70047,louisiana,91236
76360,texas,40893
78723,texas,76535
28739,northcarolina,64101
88201,newmexico,58995
75931,texas,48602
77316,texas,112917
77957,texas,59701
75975,texas,52547
77379,texas,105799
76548,texas,73142
76524,texas,75000
78758,texas,63283
75835,texas,42919
79853,texas,56892
78043,texas,50190
87123,newmexico,53544
75972,texas,42279
75240,texas,49460
78112,texas,49990
77356,texas,105825
75693,texas,80063
75966,texas,39310
78573,texas,42279
77905,texas,68193
75503,texas,73415
70072,louisiana,53226
77515,texas,76282
75951,texas,41003
77662,texas,63830
32534,florida,53828
72120,arkansas,67133
70344,louisiana,55484
29651,southcarolina,65691
76935,texas,75000
77351,texas,53724
75024,texas,107948
36027,alabama,36761
77611,texas,93852
70655,louisiana,49280
75904,texas,54624
71429,louisiana,44356
75702,texas,44648
70503,louisiana,83063
77640,texas,45341
77418,texas,66445
79549,texas,53097
78582,texas,38495
77845,texas,83361
78759,texas,90246
70805,louisiana,25661
38501,tennessee,44801
86323,arizona,48086
70094,louisiana,41909
70615,louisiana,40500
78415,texas,49255
70601,louisiana,44108
77837,texas,58750
77474,texas,73220
71016,louisiana,33387
76017,texas,83362
36016,alabama,48289
78520,texas,42484
78758,texas,63283
76208,texas,85625
77904,texas,81540
78521,texas,35318
71446,louisiana,53012
78504,texas,68024
78062,texas,63391
78418,texas,80906
71371,louisiana,66786
27616,northcarolina,69324
78028,texas,59802
74533,oklahoma,49405
30040,georgia,114900
75088,texas,96279
78332,texas,47456
81082,colorado,47314
35967,alabama,44027
70053,louisiana,41275
79109,texas,61570
79936,texas,58096
77320,texas,48550
78666,texas,44914
77726,texas,not_found
75951,texas,41003
70668,louisiana,43986
79932,texas,75709
78413,texas,73859
78550,texas,41961
78582,texas,38495
70435,louisiana,79625
70001,louisiana,63435
70607,louisiana,45275
77328,texas,51635
77662,texas,63830
77705,texas,46751
79065,texas,50077
75972,texas,42279
75228,texas,51018
75972,texas,42279
78411,texas,55357
75708,texas,68121
70663,louisiana,54733
77979,texas,62054
71403,louisiana,67396
78416,texas,40981
75904,texas,54624
70656,louisiana,45625
75961,texas,37540
